rank,album,artist,apple,audiomark,deezer,boom,RT
481,Kos'oluwa Laye,Toluwani,500,510,275,520,1415.0
482,Love & Afrobeats,Drik Marley,500,510,278,520,1418.0
483,JAGUAR,Victoria Mon\u00e9t,500,510,279,520,1419.0
484,I Am Not A Human Being II,Lil Wayne,500,510,280,520,1420.0
485,Stillmatic,Nas,500,510,281,520,1421.0
486,Moonlovers: Scarlet Heart Ryeo (Original Television Soundtrack),Various Artists,500,510,283,520,1423.0
487,Elements,Elaine,500,510,284,520,1424.0
488,Last Daze Of Summer,Maleek Berry,500,510,285,520,1425.0
489,Best Of P-Square,P-Square,500,510,286,520,1426.0
490,The Very Best of Enya (Deluxe Edition),Enya,500,510,292,520,1432.0
491,"Deep, Blue - EP",Shalom Dubas,500,510,293,520,1433.0
492,The Hill,Travis Greene,500,510,294,520,1434.0
493,Beautiful Imperfection,A\u1e63a,500,510,297,520,1437.0
494,Moral Instruction,Falz,500,510,298,520,1438.0
495,The Marshall Mathers LP,Eminem,500,510,299,520,1439.0
496,"Thank you, God. For it all.",Childish Major,500,510,300,520,1440.0
497,World War Joy,The Chainsmokers,500,510,301,520,1441.0
498,Trilogy,The Weeknd,500,510,302,520,1442.0
499,C.E.O,Dagrin,500,510,303,520,1443.0
500,Under the Streetlight,Boyz II Men,500,510,304,520,1444.0
501,Hillsong Chapel: Yahweh,Hillsong Worship,500,510,306,520,1446.0
502,KIRK,DaBaby,500,510,307,520,1447.0
503,Greatest Hits,Westlife,500,510,310,520,1450.0
504,Amy Grant Collection,Amy Grant,500,510,311,520,1451.0
505,GREY Area,Little Simz,500,510,312,520,1452.0
506,A Beautiful Exchange (Live),Hillsong Worship,500,510,313,520,1453.0
507,Amunudun,Beautiful Nubia and the Roots Renaissance Band,500,510,314,520,1454.0
508,4:44,Jay-Z,500,510,315,520,1455.0
509,Zanku,Zlatan,500,510,316,520,1456.0
510,Instrumental Beats 2021,Type Beat,500,510,318,520,1458.0
511,Golden Wings,Zoe Wees,500,510,319,520,1459.0
512,Unplugged for the People (The Acoustic Greatest Hits),Tenth Avenue North,500,510,322,520,1462.0
513,In Due Time (Genesis),CalledOut Music,500,510,323,520,1463.0
514,Unstoppable International,2baba,500,510,324,520,1464.0
515,magna cum laude,NA,500,510,450,17,1464.25
516,The People Tour: Live from Madison Square Garden,Hillsong UNITED,500,510,325,520,1465.0
517,Life On Earth - EP,Summer Walker,500,510,327,520,1467.0
518,Know-It-All (Deluxe),Alessia Cara,500,510,328,520,1468.0
519,kairos,NA,500,510,450,36,1469.0
520,Distant Relatives,Damian Marley,500,510,329,520,1469.0
521,born of god,NA,500,510,450,39,1469.75
522,PARANOIA,Maggie Lindemann,500,510,330,520,1470.0
523,Too High To Riot,Bas,500,510,331,520,1471.0
524,you have done me well,NA,500,510,450,47,1471.75
525,the life and times of 50th birthday edition,NA,500,510,450,50,1472.5
526,Brave Enough (Deluxe Edition),Lindsey Stirling,500,510,333,520,1473.0
527,barry back the,NA,500,510,450,55,1473.75
528,Plastic Hearts,Miley Cyrus,500,510,334,520,1474.0
529,flavour of africa,NA,500,510,450,60,1475.0
530,Crossover: Live From Music City,Travis Greene,500,510,335,520,1475.0
531,"thank u, next",Ariana Grande,500,510,336,520,1476.0
532,the harvest,NA,500,510,450,65,1476.25
533,mafia culture,NA,500,510,450,66,1476.5
534,Jesus Culture Collection,Jesus Culture,500,510,337,520,1477.0
535,warriors,NA,500,510,450,69,1477.25
536,you are great,NA,500,510,450,70,1477.5
537,this god is too good,NA,500,510,450,71,1477.75
538,Tha Carter IV (Deluxe),Lil Wayne,500,510,338,520,1478.0
539,country moods,NA,500,510,450,73,1478.25
540,c,NA,500,510,450,74,1478.5
541,A Side Of Me,Nikita Kering,500,510,339,520,1479.0
542,the playmaker,NA,500,510,450,77,1479.25
543,Californian Soil,London Grammar,500,510,340,520,1480.0
544,Sling,Clairo,500,510,341,520,1481.0
545,hymnal,NA,500,510,450,85,1481.25
546,chiomalized,NA,500,510,450,87,1481.75
547,Money Can't Buy Happiness,Fredo,500,510,342,520,1482.0
548,coast to coast,NA,500,510,450,88,1482.0
549,grass 2 grace,NA,500,510,450,90,1482.5
550,by special request vol. 2,NA,500,510,450,91,1482.75
551,His Glory Alone,KB,500,510,343,520,1483.0
552,next level,NA,500,510,450,94,1483.5
553,about 30,NA,500,510,450,96,1484.0
554,faith is rising,NA,500,510,450,98,1484.5
555,asha,NA,500,510,450,99,1484.75
556,F*CK LOVE,The Kid Laroi,500,510,346,520,1486.0
557,MONTERO (Call Me By Your Name),Lil Nas X,500,510,347,520,1487.0
558,Burn The Ships (Deluxe Edition: Remixes & Collaborations),for King & Country,500,510,348,520,1488.0
559,Chrome,Zinoleesky,500,510,349,520,1489.0
560,Just Worship (Live),1spirit & Theophilus Sunday,500,510,350,520,1490.0
561,Unearthly Vibrations,Warsheep,500,510,351,520,1491.0
562,Nectar,Joji,500,510,353,520,1493.0
563,Changes,Justin Bieber,500,510,354,520,1494.0
564,Red Gold Green,Rootz Underground,500,510,355,520,1495.0
565,Legacy (Ahamefuna),Duncan Mighty,500,510,356,520,1496.0
566,Which Way is Forward?,Obongjayar,500,510,357,520,1497.0
567,Royalty (Deluxe Version),Chris Brown,500,510,358,520,1498.0
568,Painted,Lucky Daye,500,510,359,520,1499.0
569,3:05 Musing,Kenah,500,510,360,520,1500.0
