rank,song,artist,apple,boom,youtube,spotify,RT
235,No One Like You,"Flavour, Semah",90,510,450,490,513.3333333333334
236,Je Laisse Tout A Dieu,Indira,500,100,450,490,513.3333333333334
237,Jesus Is Coming,Judikay,91,510,450,490,513.6666666666666
238,Peace In the Storm,Sinach,500,510,41,490,513.6666666666666
239,He Keeps on Doing,Benjamin Dube,92,510,450,490,514.0
240,You No Dey Use Me Play,Ema Onyx,500,510,44,490,514.6666666666666
241,Rid Me of Those Things,Elijah Oyelade,500,510,48,490,516.0
242,My Praise (feat. Solomon Lange),Norine Mindeyes,500,510,49,490,516.3333333333334
243,Great I Am,Dare David,500,510,50,490,516.6666666666666
244,ÌRÌ,Sola Allyson,500,510,51,490,517.0
245,Healing Stream,Evans Ighodalo,500,510,52,490,517.3333333333334
246,Omeriwo (feat. Henrisoul & Mercy Chinwo),Sammie Okposo,500,510,54,490,518.0
247,Yahweh Be Praised ( Live ),Emmasings,500,510,55,490,518.3333333333334
248,All That Matters,GUC,500,510,57,490,519.0
249,ADA EHI,Ada Ehi,500,510,61,490,520.3333333333334
250,Yours (Live),Minister GUC,500,510,64,490,521.3333333333334
251,Imole De,Dunsin Oyekan,500,510,70,490,523.3333333333334
252,IZURUKEME (more than enough),Promise Benson,500,510,71,490,523.6666666666666
253,Gratitude,Tope Alabi,500,510,72,490,524.0
254,Man of Galilee,Judikay,500,510,73,490,524.3333333333334
255,Angels Bow (feat. Phil Thompson),Steve Crown,500,510,74,490,524.6666666666666
256,Ta Lo Dabii Re,Tope Alabi,500,510,75,490,525.0
257,Same God,Segun John,500,510,76,490,525.3333333333334
258,Idinma,Judikay,500,510,77,490,525.6666666666666
259,How Great You Are (feat. Mercy Chinwo & Nosa),JOEPRAIZE,500,510,78,490,526.0
260,You Are Jehovah,Prospa Ochimana,500,510,79,490,526.3333333333334
261,Yes Lord (Live),Judikay,500,510,81,490,527.0
262,Spirit Pray (Live),Elijah Oyelade,500,510,82,490,527.3333333333334
263,I Win,Samsong,500,510,83,490,527.6666666666666
264,We Wait on You,Steve Crown,500,510,86,490,528.6666666666666
265,Ebe,Sola Allyson,500,510,87,490,529.0
266,Born to Worship,Prinz,500,510,88,490,529.3333333333334
267,Aye Ole,Infinity,500,510,89,490,529.6666666666666
268,Korede,Mike Abdul,500,510,90,490,530.0
269,Iyin,Sola Allyson,500,510,91,490,530.3333333333334
270,Iyin Ye O,Tope Alabi,500,510,92,490,530.6666666666666
271,E Dey Work,Samsong,500,510,93,490,531.0
272,Nobody Can,Sammie Okposo,500,510,94,490,531.3333333333334
273,My Peace,Elijah Oyelade,500,510,96,490,532.0
274,Iro Halleluyah (feat. Tope Alabi),Mike Abdul,500,510,97,490,532.3333333333334
275,Jésù Mi Dà (feat. Puffy Tee & Bidemi Olaoba),Mike Abdul,500,510,98,490,532.6666666666666
276,God Alone,Joe Praize,500,510,99,490,533.0
