rank,album,artist,R1,R2,R3,R4,R5,R6,R7,RT
26,DAMN.,Kendrick Lamar,301,301,26,26,26,26,26,104.57142857142857
27,Glory Sound Prep,Jon Bellion,301,301,27,27,27,27,27,105.28571428571429
28,Death Race For Love,Juice Wrld,301,301,28,28,28,28,28,106.0
29,Rema Freestyle EP,Rema,301,301,29,29,29,29,29,106.71428571428571
30,African Giant,Burna Boy,301,301,30,30,30,30,30,107.42857142857143
31,JESUS IS KING,Kanye West,301,301,31,31,31,31,31,108.14285714285714
32,Light,MohBad,301,301,32,32,32,32,32,108.85714285714286
33,Roots,NSG,301,301,33,33,33,33,33,109.57142857142857
34,Legends Never Die,Juice Wrld,301,301,34,34,34,34,34,110.28571428571429
35,ROOTS,The Cavemen.,301,301,35,35,35,35,35,111.0
36,Freedom.,Justin Bieber,301,301,36,36,36,36,36,111.71428571428571
37,SoulFly (Deluxe Version),Rod Wave,301,301,37,37,37,37,37,112.42857142857143
38,CTV3: Day Tripper's Edition,Jaden,301,301,38,38,38,38,38,113.14285714285714
39,3 Th3 Album,Not3s,301,301,39,39,39,39,39,113.85714285714286
40,Budweiser (Remix),Various Artists,301,301,40,40,40,40,40,114.57142857142857
41,LV N ATTN,Lojay,301,301,41,41,41,41,41,115.28571428571429
42,My Turn (Deluxe),Lil Baby,301,301,42,42,42,42,42,116.0
43,Evolution,Joyner Lucas,301,301,43,43,43,43,43,116.71428571428571
44,Godfather of Harlem: Season 2 (Original Series Soundtrack),Godfather of Harlem,301,301,44,44,44,44,44,117.42857142857143
45,CLOUDS (THE MIXTAPE),NF,301,301,45,45,45,45,45,118.14285714285714
46,Trip At Knight (Complete Edition),Trippie Redd,301,301,46,46,46,46,46,118.85714285714286
47,Trip At Knight,Trippie Redd,301,301,47,47,47,47,47,119.57142857142857
48,Alari,Liya,301,301,48,48,48,48,48,120.28571428571429
49,Justice,Justin Bieber,301,301,49,49,49,49,49,121.0
50,Lemonade Mouth,Lemonade Mouth,301,301,50,50,50,50,50,121.71428571428571
51,No.6 Collaborations Project,Ed Sheeran,301,301,51,51,51,51,51,122.42857142857143
52,Cloud 19,Kehlani,301,301,52,52,52,52,52,123.14285714285714
53,Shopla,Jaido P,301,301,53,53,53,53,53,123.85714285714286
54,Just A Matter of Slime,YNW Melly,301,301,55,55,55,55,55,125.28571428571429
55,The House Is Burning,Isaiah Rashad,301,301,56,56,56,56,56,126.0
56,What Have We Done,Omah lay,301,301,57,57,57,57,57,126.71428571428571
57,Too Faithful,Moses Bliss,301,301,58,58,58,58,58,127.42857142857143
58,A Week Away (Music From The Netflix Film),The Cast Of Netflix's Film A Week Away,301,301,59,59,59,59,59,128.14285714285714
59,Chrome,Zinoleesky,301,301,60,60,60,60,60,128.85714285714286
60,More Life,Drake,301,301,61,61,61,61,61,129.57142857142858
61,Scorpion,Drake,301,301,62,62,62,62,62,130.28571428571428
62,Goodbye & Good Riddance,Juice Wrld,301,301,63,63,63,63,63,131.0
63,Hollywood's Bleeding,Post Malone,301,301,64,64,64,64,64,131.71428571428572
64,I LOVE GIRLS WITH TROBUL,Sarz,301,301,65,65,65,65,65,132.42857142857142
65,Melly vs. Melvin,YNW Melly,301,301,66,66,66,66,66,133.14285714285714
66,Meet The Woo 2,Pop Smoke,301,301,67,67,67,67,67,133.85714285714286
67,Distant Relatives,Damian Marley,301,301,68,68,68,68,68,134.57142857142858
68,Don Moen Collection,Don Moen,301,301,69,69,69,69,69,135.28571428571428
69,Meet The Woo 2 (Deluxe),Pop Smoke,301,301,70,70,70,70,70,136.0
70,WONDALAND,Teni,301,301,71,71,71,71,71,136.71428571428572
71,Man Of Galilee,Judikay,301,301,72,72,72,72,72,137.42857142857142
72,Twice As Tall,Burna Boy,301,301,73,73,73,73,73,138.14285714285714
73,Faith,Pop Smoke,301,301,74,74,74,74,74,138.85714285714286
74,Tribl I,tribl,301,301,75,75,75,75,75,139.57142857142858
75,"Spontaneous Praise, Vol. 1",Laolu Gbenjo,301,301,76,76,76,76,76,140.28571428571428
76,Grass 2 Grace,2Face Idibia,301,301,77,77,77,77,77,141.0
77,808s & Heartbreak,Kanye West,301,301,78,78,78,78,78,141.71428571428572
78,Purpose (Deluxe),Justin Bieber,301,301,79,79,79,79,79,142.42857142857142
79,The Human Condition,Jon Bellion,301,301,80,80,80,80,80,143.14285714285714
80,Future Now,Ada Ehi,301,301,81,81,81,81,81,143.85714285714286
81,Mylo Xyloto,Coldplay,301,301,82,82,82,82,82,144.57142857142858
82,By the Holyghost,Samsong,301,301,83,83,83,83,83,145.28571428571428
83,Virgo Moon,Lil Tecca,301,301,84,84,84,84,84,146.0
84,Underneath The Stars,Kate Rusby,301,301,85,85,85,85,85,146.71428571428572
85,It's Dark And Hell Is Hot,DMX,301,301,86,86,86,86,86,147.42857142857142
86,Hitler Wears Hermes 8: Sincerely Adolf,Westside Gunn,301,301,87,87,87,87,87,148.14285714285714
87,Birdy (Deluxe Version),Birdy,301,301,88,88,88,88,88,148.85714285714286
88,Nursery Rhymes by Cocomelon,Cocomelon,301,301,89,89,89,89,89,149.57142857142858
89,Invasion of Privacy,Cardi B,301,301,90,90,90,90,90,150.28571428571428
90,It's 4 am. You're sleeping. I'm Crying.,LUUV.,301,301,91,91,91,91,91,151.0
91,Love Is Contagious,WurlD,301,301,92,92,92,92,92,151.71428571428572
92,Warna,Joey Alexander,301,301,93,93,93,93,93,152.42857142857142
93,Shoot For The Stars Aim For The Moon,Pop Smoke,301,301,94,94,94,94,94,153.14285714285714
94,Most Underrated,Diego Tinny,301,301,95,95,95,95,95,153.85714285714286
95,BTR,Big Time Rush,301,301,96,96,96,96,96,154.57142857142858
96,Rhythm & Soul,Pryme,301,301,97,97,97,97,97,155.28571428571428
97,Unlimited - Verse 1,Frank Edwards,301,301,98,98,98,98,98,156.0
98,Perception,NF,301,301,99,99,99,99,99,156.71428571428572
99,Outside,Burna Boy,301,301,100,100,100,100,100,157.42857142857142
100,SOUR,Olivia Rodrigo,2,2,301,301,301,301,301,215.57142857142858
101,My Brilliant Friend (TV Series Soundtrack),Max Richter,3,3,301,301,301,301,301,215.85714285714286
102,Spark Of Guards,Theoretical Cemetary,4,4,301,301,301,301,301,216.14285714285714
103,Eyes Open,Snow Patrol,5,5,301,301,301,301,301,216.42857142857142
104,In Direzione Ostinata e Contraria,Fabrizio De André,6,6,301,301,301,301,301,216.71428571428572
105,Electrical Language (Independent British Synth Pop 78-84),Various Artists,8,8,301,301,301,301,301,217.28571428571428
