rank,song,artist,apple,boom,RT
138,If You No Love,Chike,200,84,242.0
139,Lo Lo,Omah Lay,200,85,242.5
140,Take It Slow,Bahati,200,86,243.0
141,Enfant de Dieu ( L\xe2\x80\x99hymne national),Ks bloom,200,87,243.5
142,No Fugazy,Sarkodie,200,88,244.0
143,Damn,Omah Lay,200,89,244.5
144,Ankonam,Black Sherif,200,91,245.5
145,Everything (Amen),Timi Dakolo,200,92,246.0
146,Basi Tu ft. Mbosso,Lava Lava,200,93,246.5
147,Can\'t Relate,Omah Lay,200,94,247.0
148,Like I Do,Fireboy DML,200,95,247.5
149,Ama,Medikal,200,96,248.0
150,Thy Grace,Kofi Kinaata,200,97,248.5
151,Baby,Joeboy,200,99,249.5
152,Amore,Fally Ipupa,200,100,250.0
