rank,song,artist,apple,boom,spotify,audiomack,deezer,youtube,RT
123,Party Lyfe (with DaBaby),Polo G,119,420,105,450,109,325,254.66666666666666
124,Green Light,Olamide,375,75,350,107,300,325,255.33333333333334
125,So Real,Polo G,124,420,112,450,101,325,255.33333333333334
126,Adura,Mohbad,375,71,350,112,300,325,255.5
127,PonPon (feat. Fave),Olamide,108,420,117,450,113,325,255.5
128,Rough Up (feat. Layydoe),Olamide,107,420,118,450,114,325,255.66666666666666
129,Want (feat. Fave),Olamide,109,420,121,450,115,325,256.6666666666667
130,Heart of a Giant (with Rod Wave),Polo G,114,420,100,450,131,325,256.6666666666667
131,Somebody (feat. Phyno),Olamide,110,420,120,450,116,325,256.8333333333333
132,Cup of Tea,Olamide,111,420,122,450,117,325,257.5
133,So Much More,Olamide,112,420,123,450,118,325,258.0
134,Are You Sure,Lyta,375,420,350,17,300,86,258.0
135,Confession,Omah Lay,375,72,350,129,300,325,258.5
136,Damn,Omah Lay,375,59,350,143,300,325,258.6666666666667
137,Money,"Terri, Bella Shmurda, Mohbad",375,420,350,13,73,325,259.3333333333333
138,Roju,Chike,375,79,350,450,300,4,259.6666666666667
139,Lo Lo,Omah Lay,375,88,350,128,300,325,261.0
140,Rotate (Freestyle),Mr Eazi,375,32,350,207,300,325,264.8333333333333
141,Afar,Fireboy DML & Olamide,375,95,350,147,300,325,265.3333333333333
142,Lagos Anthem,Zlatan,375,63,350,182,300,325,265.8333333333333
143,Reckless,Wizkid,55,420,58,450,300,325,268.0
144,Love Like This (feat. Fireboy DML),Lil Kesh,375,64,350,450,300,75,269.0
145,Damages,Tems,375,420,350,83,63,325,269.3333333333333
146,Enjoy,Tekno,375,96,350,450,300,46,269.5
147,Jowo,Davido,62,420,61,450,300,325,269.6666666666667
148,Lukuti,DJ AB,375,420,350,87,300,89,270.1666666666667
149,Rich Off Pain (feat. Rod Wave),"Lil Baby, Lil Durk, Rod Wave",65,420,64,450,300,325,270.6666666666667
150,LV N ATTN,"Lojay, Sarz",375,420,350,102,300,79,271.0
151,Park O X3,"Lojay, Sarz",74,420,72,450,300,325,273.5
152,Fall for Me,Laycon,375,420,350,78,110,325,276.3333333333333
153,Longtime (feat. Skepta),Wizkid,79,420,87,450,300,325,276.8333333333333
154,Sweet One,Wizkid,80,420,90,450,300,325,277.5
155,Time For Me,Migos,93,420,85,450,300,325,278.8333333333333
156,2040,"Lil Baby, Lil Durk",94,420,86,450,300,325,279.1666666666667
157,Thot Shit,Megan Thee Stallion,375,420,350,185,300,47,279.5
158,Mighty Wine,Wizkid,88,420,95,450,300,325,279.6666666666667
