rank,song,artist,apple,boom,youtube,RT
175,Indecisive,Niinety9,77,510,450,345.6666666666667
176,sippycup,AGBNOTNICE,500,510,27,345.6666666666667
177,Seke (feat. TiwaDara),Vader the Wildcard,78,510,450,346.0
178,Searching,Lady Donli,500,510,28,346.0
179,If Its On (feat. Boutross) ,Silverstone Barz,500,89,450,346.3333333333333
180,Talk,Timiboi,79,510,450,346.3333333333333
181,Problem,Kida Kudz,500,510,29,346.3333333333333
182,Sativa (feat. Minz),Runtown,80,510,450,346.6666666666667
183,three5zero   ,DETO BLACK,500,90,450,346.6666666666667
184,Cigarette,Turunesh,500,510,30,346.6666666666667
185,Supersonic (feat. Tay Iwar),Le Mav,500,510,32,347.3333333333333
186,True Love (feat. Kaey) ,Molazzi,500,92,450,347.3333333333333
187,Inside Out,Fiona Sleek,500,510,33,347.6666666666667
188,Sweet Body,SuperSmashBroz,500,510,34,348.0
189,Alcy (feat. Bella Alubo),July Drama,84,510,450,348.0
190,Gorgeous (feat. Blaqbonez),SaveMilli,85,510,450,348.3333333333333
191,My Chargie (feat. Ahve) ,Bizzonthetrack,500,95,450,348.3333333333333
192,Feeling,LADIPOE and  Buju,86,510,450,348.6666666666667
193,Deja vu,Moliy,500,510,36,348.6666666666667
194,Waiting Outside,Dj Nayiram,500,510,37,349.0
195,Wotm,Richie Benson,87,510,450,349.0
196,Chargie,Jay Cliff,500,510,38,349.3333333333333
197,Slow Down,King Promise,500,510,40,350.0
198,Who Talk (feat. Adekunle Gold & Ria Sean),Moelogo,91,510,450,350.3333333333333
199,VVS,Studio Magic,500,510,41,350.3333333333333
200,fools,Zubi,500,510,42,350.6666666666667
201,Sacred Forest,Ogranya,500,510,43,351.0
202,Call Me Baby,Cheque,500,510,45,351.6666666666667
203,Hole in My Heart,Tarrah,500,510,46,352.0
204,Call Up,Ria Boss,500,510,47,352.3333333333333
205,Symbiosis,Ajebo Hustlers,500,510,50,353.3333333333333
206,Walahi (feat. Tidé),D-Truce,500,510,51,353.6666666666667
207,Free All The Baddies Dealing With Clowns,Khalifina,500,510,52,354.0
208,so wrong,Dayonthetrack,500,510,54,354.6666666666667
209,Prosecco,Th&o.,500,510,55,355.0
210,DKT,Oxlade,500,510,56,355.3333333333333
